url_length,count_digits,has_at,has_https,count_dots,has_hyphen,has_ip,count_special_chars,count_slash,path_length,count_subdomains,has_suspicious_words,url_entropy,digit_ratio,has_port,tld_length,is_shortened_url,label
44.0,9.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,24.0,2.0,0.0,4.42511855035714,0.20454545454545456,0.0,3.0,0.0,1
29.0,16.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.689901581992151,0.5517241379310345,1.0,9.0,0.0,1
20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.784183719779189,0.0,0.0,3.0,0.0,0
21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.880179922675738,0.047619047619047616,0.0,3.0,0.0,0
17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.381580488309163,0.0,0.0,3.0,0.0,0
19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.5110854081804272,0.0,0.0,3.0,0.0,0
17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.572469458770135,0.058823529411764705,0.0,3.0,0.0,0
18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.614369445886757,0.0,0.0,2.0,0.0,0
21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.9754180179138334,0.0,0.0,2.0,0.0,0
21.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7849418274376427,0.0,0.0,3.0,0.0,0
15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.3735572622751855,0.0,0.0,2.0,0.0,0
28.0,15.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.699513850319966,0.5357142857142857,1.0,9.0,0.0,1
